brand,Max of the price,Min of the price
Longines,15932.0,210.0
Breitling,40000.0,919.0
Seiko,104000.0,52.0
Rolex,619500.0,875.0
Omega,120851.0,275.0
IWC,178417.0,618.0
Jaeger-LeCoultre,80628.0,725.0
Audemars Piguet,600000.0,1951.0
Tudor,43286.0,890.0
Patek Philippe,1174311.0,6157.0
Hublot,279995.0,1184.0
Oris,8610.0,125.0
Cartier,164000.0,431.0
Panerai,119000.0,2457.0
TAG Heuer,60958.0,269.0
Sinn,22527.0,1877.0
Zenith,94066.0,242.0
Vacheron Constantin,128242.0,2874.0
A. Lange & Söhne,250000.0,5615.0
NOMOS,2768.0,2768.0
Richard Mille,777271.0,79083.0
Ebel,1618.0,1618.0
