id,name,price,brand,model,ref,mvmt,casem,bracem,yop,cond,sex,size,condition,price_double
7096,"Longines Lyre
L47592127",$912,Longines,Lyre,N/A,N/A,N/A,N/A,Unknown,New,Men's watch/Unisex,N/A,N/A,912.0
1204,"Breitling
Windrider Chronograph 40mm Rouleauxband Ref.: B13047","$4,590",Breitling,N/A,B13047,N/A,N/A,N/A,1990 (Approximation),Good,Men's watch/Unisex,39 mm,N/A,4590.0
13992,"Seiko
Prospex",$493,Seiko,N/A,SNE585P1,N/A,N/A,N/A,2022,Unworn,Men's watch/Unisex,38.5 mm,N/A,493.0
32416,N/A,"$17,570",Rolex,Datejust 41,126331,N/A,Gold/Steel,Gold/Steel,2022,N/A,N/A,41 mm,New,17570.0
65609,N/A,"$11,138",Rolex,GMT-Master,16700,N/A,N/A,N/A,1999,N/A,N/A,40 mm,Good,11138.0
959,"Longines
Calatrava with Bauhaus style dial from 30's with beautiful calibre 10.40","$2,808",Longines,N/A,N/A,N/A,N/A,N/A,1935 (Approximation),Good,Men's watch/Unisex,"32,5 mm",N/A,2808.0
70209,N/A,"$11,864",Rolex,Oyster Perpetual 36,126000,N/A,Steel,Steel,2021,N/A,N/A,36 mm,New,11864.0
17561,"Omega Seamaster Diver 300 M
Professional Watch Chronograph 300m 2599.80","$2,025",Omega,Seamaster Diver 300 M,2599.80,Automatic,Steel,Steel,Unknown,Good,Men's watch/Unisex,41 mm,N/A,2025.0
6930,"IWC Ingenieur Chronograph
Iwiw378505 Steel Rubber 45mm (official Price: 12.700 Chf)","$10,733",IWC,Ingenieur Chronograph,IW378505,Automatic,Steel,Rubber,2017,New,Men's watch/Unisex,45 mm,N/A,10733.0
905,"Jaeger-LeCoultre Atmos
Reedition 1934 Table Clock Manual",Price on request,Jaeger-LeCoultre,Atmos,N/A,N/A,N/A,N/A,Unknown,New,Men's watch/Unisex,350 x 160 mm,N/A,0.0
4040,"Audemars Piguet Royal Oak
56143BA","$17,000",Audemars Piguet,Royal Oak,56143BA,N/A,N/A,N/A,Unknown,Very good,Men's watch/Unisex,33 mm,N/A,17000.0
15382,N/A,"$77,868",Rolex,Daytona,116505,N/A,Rose gold,Rose gold,2013,N/A,N/A,40 mm,Very good,77868.0
2913,N/A,"$5,902",Rolex,Oyster Perpetual 31,67480,N/A,N/A,N/A,1997,N/A,N/A,31 mm,Good,5902.0
810,"Tudor Black Bay Dark
79230DK-0004 - Heritage Black Bay Stainless Steel Automatic Black Dial Men's Watch","$4,554",Tudor,Black Bay Dark,79230DK-0004,Automatic,Steel,Leather,Unknown,New,Men's watch/Unisex,41 mm,N/A,4554.0
11020,"Longines Spirit
L3.820.4.93.0 - Chronic 42 mm Blue","$3,093",Longines,Spirit,L3.820.4.93.0,N/A,N/A,N/A,2022,New,Men's watch/Unisex,42 mm,N/A,3093.0
6269,"Patek Philippe Aquanaut
Travel Time [NEW 2022] - Black Dial - 5164A-001","$85,404",Patek Philippe,Aquanaut,5164A-001,N/A,N/A,N/A,2022,New,Men's watch/Unisex,40.8 mm,N/A,85404.0
34199,N/A,"$13,995",Rolex,Lady-Datejust,N/A,N/A,Yellow gold,Yellow gold,Unknown,N/A,N/A,26 mm,Very good,13995.0
10942,"Hublot Classic Fusion Aerofusion
Moonphase - 45mm 517.NX.0170.LR","$13,280",Hublot,Classic Fusion Aerofusion,517.NX.0170.LR,Automatic,Titanium,Crocodile skin,Unknown,Unworn,Men's watch/Unisex,45 mm,N/A,13280.0
709,"Oris Rectangular
01 561 7783 4061-07 5 19 15","$1,779",Oris,Rectangular,01 561 7783 4061-07 5 19 15,Automatic,Steel,Leather,2023,New,Men's watch/Unisex,38 mm,N/A,1779.0
11140,"Longines Conquest
L1.614.3",$470,Longines,Conquest,L1.614.3,N/A,N/A,N/A,1993,Very good,Men's watch/Unisex,35 mm,N/A,470.0
22020,"Omega
14k (0,585) Gelbgold Handaufzug Herrenuhr Ref. 131.016 Vintage aus 1966","$1,254",Omega,N/A,N/A,N/A,N/A,N/A,1966 (Approximation),Very good,Men's watch/Unisex,33.5 mm,N/A,1254.0
23811,N/A,"$3,724",Rolex,Oyster Perpetual 31,6748,N/A,N/A,N/A,1982,N/A,N/A,31 mm,Very good,3724.0
25187,N/A,"$6,900",Rolex,Datejust 31,178240,N/A,Steel,Steel,Unknown,N/A,N/A,31 mm,Very good,6900.0
