id,name,price,brand,model,ref,mvmt,casem,bracem,yop,cond,sex,size,condition
47438,,"$13,000",Rolex,Datejust 36,126200,,Steel,Steel,2021,,,36 mm,New
42964,,"$22,950",Rolex,Day-Date 36,18238,,,Yellow gold,1980 (Approximation),,,36 mm,
4105,,"$75,000",Rolex,Day-Date 36,128236,,,,2022,,,36 mm,New
20035,,"$16,928",Rolex,Datejust 41,126334,,White gold,Steel,2019,,,41 mm,Very good
9211,"IWC Da Vinci Chronograph
IW3736 Chronograph Moonphase 18k Yellow Gold Date 29MM Ladies Quartz","$3,395",IWC,Da Vinci Chronograph,IW3736,,,,Unknown,Very good,Women's watch,29 mm,
2778,"Zenith Defy El Primero
21","$21,278",Zenith,Defy El Primero,10.9000.9004/96.R921,,,,2023,New,Men's watch/Unisex,44 mm,
7766,"Seiko
SKK726P SKK726P1 Mother of pearl Diamond Quartz Sapphire crystal Rose Gold Leather Date",$385,Seiko,,,,,,Unknown,New,Women's watch,33 mm,
5709,"Longines DolceVita
l5.767.4.73.3","$1,719",Longines,DolceVita,L5.767.4.73.3,Automatic,Steel,Crocodile skin,2023,New,Men's watch/Unisex,28.2 x 47 mm,
29279,,"$5,495",Rolex,Lady-Datejust,69178,,,Leather,Unknown,,,26 mm,Good
32760,,"$13,091",Rolex,Yacht-Master 40,16622,,,,2002,,,40 mm,Very good
27923,,"$55,856",Rolex,Daytona,116509NG,,,,Unknown,,,40 mm,Good
2541,"TAG Heuer Formula 1 Quartz
CAZ1010.BA0842","$1,955",TAG Heuer,Formula 1 Quartz,CAZ1010.BA0842,,,,Unknown,New,Men's watch/Unisex,43 mm,
62668,,"$15,592",Rolex,Datejust II,116334,,,,2015 (Approximation),,,,Very good
12066,"Seiko Prospex
Men's SRPB51K1/SRPF03K1 Prospex Black Dial Watch",$431,Seiko,Prospex,SRPF03K1,Automatic,Steel,Steel,2023,New,Men's watch/Unisex,43.8 mm,
