id,name,price,brand,model,ref,mvmt,casem,bracem,yop,cond,sex,size,condition
32719,"Omega
Stoppuhr Ref. MG 6351 + Ref. MG 6301 und 2x Omega Halter W 1732 Full Set aus 1973+1967","$3,415",Omega,,,,,,1967 (Approximation),Good,,65 mm,
4439,"Tudor Black Bay
Heritage Blue","$3,226",Tudor,Black Bay,79220B,,,,Unknown,Good,Men's watch/Unisex,41 mm,
3054,"Omega De Ville Prestige
32,7MM.Co-Axial.Steel/Red Gold,Blue Dial","$7,548",Omega,De Ville Prestige,"424.20.33.20.53.001-De Ville Prestige Coassiale 32,7MM",,,,2017 (Approximation),New,Women's watch,"32,7 mm",
46630,,"$15,995",Rolex,Datejust 36,126234,,Steel,Steel,2023,,,36 mm,New
37508,"Omega
Omegamania Ladies 18k White Gold/Diamonds MOP Watch w. Box 5886.73.53","$2,899",Omega,,,,,,Unknown,Good,Men's watch/Unisex,27 mm,
7301,"A. Lange & Söhne Cabaret
107.026 X","$55,358",A. Lange & Söhne,Cabaret,,,,,2004,Unworn,Men's watch/Unisex,,
212,"Cartier Ballon Blanc
26mm","$10,094",Cartier,Ballon Blanc,WGBL0004,Quartz,Rose gold,Crocodile skin,2023,Unworn,Women's watch,26 mm,
61988,,Price on request,Rolex,Explorer II,216570,,,,2012 (Approximation),,,42 mm,Very good
32896,,"$61,450",Rolex,Day-Date 40,228238,,Yellow gold,Yellow gold,2023,,,40 mm,New
9790,"Breitling Superocean Heritage II 42
AB2010121L1A1","$5,412",Breitling,Superocean Heritage II 42,AB2010121L1A1,,,,2022,Very good,Men's watch/Unisex,42 mm,
3303,"Breitling Chronomat 36
Automatik 36 A10380101L1A1","$4,474",Breitling,Chronomat 36,,Automatic,Steel,Steel,2023,Unworn,Women's watch,36 mm,
38037,"Omega Seamaster Diver 300 M
210.32.42.20.10.001 Stainless Steel - Green Ceramic","$5,773",Omega,Seamaster Diver 300 M,210.32.42.20.10.001,,,,Unknown,New,,41 mm,
2018,"Vacheron Constantin Patrimony
484980","$6,441",Vacheron Constantin,Patrimony,,,,,1976 (Approximation),Very good,Men's watch/Unisex,35 mm,
570,"Panerai Radiomir 1940
Bucherer Edição de 100 Unidades 45mm Automático","$10,660",Panerai,Radiomir 1940,PAM 00694,,,,Unknown,Very good,Men's watch/Unisex,45 mm,
