brand,Max of the price,Min of the price
Rolex,846394.0,1215.0
Longines,46565.0,231.0
Patek Philippe,6726634.0,4549.0
Panerai,37569.0,3226.0
Tudor,27031.0,926.0
Breitling,40098.0,399.0
IWC,205467.0,880.0
Omega,51305.0,279.0
TAG Heuer,68894.0,253.0
Seiko,51772.0,32.0
Vacheron Constantin,131000.0,1783.0
Cartier,141600.0,346.0
Hublot,134568.0,771.0
Audemars Piguet,490000.0,3450.0
Zenith,126747.0,253.0
Oris,7600.0,112.0
Jaeger-LeCoultre,48300.0,403.0
Richard Mille,4450000.0,104767.0
A. Lange & Söhne,279500.0,3333.0
Sinn,4494.0,1050.0
Hamilton,1030.0,1030.0
