id,name,price,brand,model,ref,mvmt,casem,bracem,yop,cond,sex,size,condition,price_double
1156,"TAG Heuer Formula 1 Lady
WBJ1419.BA0664","$1,989",TAG Heuer,Formula 1 Lady,WBJ1419.BA0664,Quartz,Steel,Steel,2023,New,Women's watch,32 mm,N/A,1989.0
16016,"Seiko GS
SBGC201/9R86-0AA0 グランドセイコー スポーツコレクション クロノグラフ スプリングドライブ メンズ 箱・保証書付_757983 中古","$4,397",Seiko,N/A,N/A,N/A,N/A,N/A,Unknown,Fair,Men's watch/Unisex,43 mm,N/A,4397.0
7869,"IWC Portuguese Yacht Club Chronograph
Portugieser Yacht Club Chronograph","$8,632",IWC,Portuguese Yacht Club Chronograph,390502,Automatic,Steel,Rubber,2016,Very good,N/A,43.5 mm,N/A,8632.0
1228,"Patek Philippe Nautilus
3712/1A 3 Red dots",Price on request,Patek Philippe,Nautilus,3712/1A,N/A,N/A,N/A,2005,Unworn,Men's watch/Unisex,42 mm,N/A,0.0
14323,"Breitling Superocean 44
Automatic 44 a17367a11L1w1 Outerknown","$3,690",Breitling,Superocean 44,N/A,Automatic,Steel,Textile,2023,New,Men's watch/Unisex,44 mm,N/A,3690.0
5996,"IWC Pilot Chronograph Top Gun
Woodland","$15,415",IWC,Pilot Chronograph Top Gun,IW389106,N/A,N/A,N/A,2022,Unworn,Men's watch/Unisex,44.5 mm,N/A,15415.0
2288,"Tudor Pelagos
Fxd","$5,406",Tudor,Pelagos,25707B/22,N/A,N/A,N/A,2023 (Approximation),Unworn,Men's watch/Unisex,42 mm,N/A,5406.0
6186,"Breitling Navitimer 1 B01 Chronograph
43 Etihad Ariways","$7,500",Breitling,Navitimer 1 B01 Chronograph,N/A,N/A,N/A,N/A,2023,New,Men's watch/Unisex,43 mm,N/A,7500.0
19521,N/A,"$14,107",Rolex,Air King,116900,N/A,Steel,Steel,2018,N/A,N/A,40 mm,Very good,14107.0
15056,"Breitling Navitimer 1 B01 Chronograph
41 Stainless steel Men's Watch","$8,211",Breitling,Navitimer 1 B01 Chronograph,AB0139211G1P1,Automatic,N/A,N/A,Unknown,New,Men's watch/Unisex,41 mm,N/A,8211.0
13027,"Omega
522.20.42.30.01.001 メンズ","$6,033",Omega,N/A,522.20.42.30.01.001,N/A,N/A,N/A,Unknown,Good,Men's watch/Unisex,42 mm,N/A,6033.0
