id,name,price,brand,model,ref,mvmt,casem,bracem,yop,cond,sex,size,condition,price_double
60832,N/A,"$21,300",Rolex,GMT-Master II,126710BLRO,N/A,Steel,Steel,2021 (Approximation),N/A,N/A,40 mm,Very good,21300.0
58373,N/A,"$53,346",Rolex,Daytona,116515LN,N/A,N/A,N/A,Unknown,N/A,N/A,40 mm,Unworn,53346.0
8848,"Longines Master Collection
L2.909.4.97.0","$2,980",Longines,Master Collection,N/A,Automatic,Steel,Leather,2023,New,Men's watch/Unisex,N/A,N/A,2980.0
8632,"Patek Philippe Aquanaut
42.2mm Khaki Green Dial/White Gold 5168G-010 Box Papers",Price on request,Patek Philippe,Aquanaut,5168G-010,Automatic,White gold,Rubber,Unknown,Unworn,Men's watch/Unisex,42.2 mm,N/A,0.0
6185,"Panerai Luminor Marina Automatic
PAM 01104","$4,599",Panerai,Luminor Marina Automatic,PAM 01104,N/A,N/A,N/A,2018,Very good,Men's watch/Unisex,44 mm,N/A,4599.0
8577,"Tudor Black Bay
79220B","$3,200",Tudor,Black Bay,79220B,N/A,N/A,N/A,2018,Very good,Men's watch/Unisex,41 mm,N/A,3200.0
12774,"Breitling Colt Lady
Steel","$2,180",Breitling,Colt Lady,A77387,Quartz,Steel,Steel,2012,Very good,Women's watch,33 mm,N/A,2180.0
12103,N/A,"$14,000",Rolex,Datejust 41,126334,N/A,Steel,Steel,2023 (Approximation),N/A,N/A,41 mm,New,14000.0
2491,"IWC Pilot Mark
パイロットウォッチ マーク15 IW325301","$3,467",IWC,Pilot Mark,IW325301,Automatic,Steel,N/A,Unknown,Very good,N/A,38 mm,N/A,3467.0
33090,"Omega Speedmaster Professional Moonwatch
Dark Side Of The Moon Vintage Black","$11,800",Omega,Speedmaster Professional Moonwatch,311.92.44.51.01.006,N/A,N/A,N/A,2021,Unworn,Men's watch/Unisex,44 mm,N/A,11800.0
22874,Omega Seamaster,"$2,850",Omega,Seamaster,N/A,N/A,N/A,N/A,1984 (Approximation),Very good,Men's watch/Unisex,30 mm,N/A,2850.0
62888,N/A,"$5,536",Rolex,Datejust 31,68240,N/A,Steel,Steel,1993,N/A,N/A,31 x 37 mm,Very good,5536.0
18137,N/A,"$31,590",Rolex,Daytona,116520,N/A,N/A,N/A,2010,N/A,N/A,40 mm,Very good,31590.0
5408,"TAG Heuer Carrera Calibre 16
CV2010 automatic chronograph steel bracelet skeleton case back Tag service car","$1,680",TAG Heuer,Carrera Calibre 16,CV2010,N/A,N/A,N/A,2010 (Approximation),Very good,Men's watch/Unisex,41 mm,N/A,1680.0
17272,"Seiko
セイコー SEIKO クレドール ノード スプリングドライブ パワーリザーブ ムーンフェイズ5R77-0AC0","$7,986",Seiko,N/A,N/A,N/A,N/A,N/A,Unknown,Good,Men's watch/Unisex,42 mm,N/A,7986.0
86,"Vacheron Constantin Fiftysix
Self Winding 40mm","$26,338",Vacheron Constantin,Fiftysix,4600E/000R-B441,Automatic,Rose gold,Crocodile skin,2023,Unworn,Men's watch/Unisex,40 mm,N/A,26338.0
7931,"Seiko 5
7S26-01V0 Blue Dial 2000's",$288,Seiko,5,7S26-01V0,N/A,N/A,N/A,2000 (Approximation),Good,Men's watch/Unisex,37 x 42 mm,N/A,288.0
28722,"Omega
side second 1960-1969",$475,Omega,N/A,N/A,N/A,N/A,N/A,1961 (Approximation),Very good,Men's watch/Unisex,35 mm,N/A,475.0
17843,"Omega Seamaster Diver 300 M
210.22.42.20.01.002","$8,152",Omega,Seamaster Diver 300 M,210.22.42.20.01.002,Automatic,Gold/Steel,Rubber,2023,New,Men's watch/Unisex,42 mm,N/A,8152.0
49623,N/A,"$10,875",Rolex,Explorer,124270,N/A,N/A,N/A,2022,N/A,N/A,36 mm,Very good,10875.0
54104,N/A,"$55,500",Rolex,GMT-Master II,126715CHNR-0001,N/A,Rose gold,Rose gold,2022,N/A,N/A,40 mm,New,55500.0
9309,"IWC
Classic 1421137 18k 35mm watch","$3,990",IWC,N/A,N/A,N/A,N/A,N/A,Unknown,Very good,Men's watch/Unisex,35 mm,N/A,3990.0
10023,"TAG Heuer Monaco
DARK LORD","$9,776",TAG Heuer,Monaco,CBL2180.FC6497,N/A,N/A,N/A,2022,Unworn,Men's watch/Unisex,39 mm,N/A,9776.0
13615,"Omega Speedmaster Professional Moonwatch
ref. 311.33.42.30.01.001 l Full Set l 08-2020","$6,385",Omega,Speedmaster Professional Moonwatch,311.33.42.30.01.001 -- 08-2020,N/A,N/A,N/A,2020,Very good,Men's watch/Unisex,42 mm,N/A,6385.0
16599,"Cartier Santos
NEW 2022 Santos de Cartier (Large Pink Gold)","$57,899",Cartier,Santos,WHSA0016,N/A,N/A,N/A,2022,New,N/A,N/A,N/A,57899.0
8513,"Longines La Grande Classique
L4.209.4.58.6","$1,169",Longines,La Grande Classique,L4.209.4.58.6,Quartz,Steel,Steel,2023,New,Women's watch,24 mm,N/A,1169.0
8444,"Breitling Navitimer
Automatic 35","$5,542",Breitling,Navitimer,A17395211A1P5,N/A,N/A,N/A,2023 (Approximation),New,Women's watch,35 mm,N/A,5542.0
72213,N/A,"$13,830",Rolex,Lady-Datejust,279174-0015,N/A,N/A,N/A,2023,N/A,N/A,28 mm,Unworn,13830.0
7156,"IWC Portofino Automatic
IW458102","$4,593",IWC,Portofino Automatic,IW458102,Automatic,Steel,Crocodile skin,2016,Good,Men's watch/Unisex,37 mm,N/A,4593.0
9596,"IWC Portuguese Chronograph
Portugieser Chronograph 41mm Burgundy Dial Automatic Stainless Steel IW371616","$7,000",IWC,Portuguese Chronograph,IW371616,N/A,N/A,N/A,2021,New,Men's watch/Unisex,41 mm,N/A,7000.0
5041,"Hublot Spirit of Big Bang
KING GOLD PAVÉ",Price on request,Hublot,Spirit of Big Bang,662.OX.1180.RX.1604,Manual winding,Rose gold,Rubber,2023,New,Women's watch,N/A,N/A,0.0
9352,"Longines
vintage",$447,Longines,N/A,N/A,N/A,N/A,N/A,1970 (Approximation),New,Women's watch,23 x 26 mm,N/A,447.0
3905,"Omega Seamaster
Olympic Official Timekeeper","$17,883",Omega,Seamaster,522.53.40.20.04.003,Automatic,Red gold,Leather,2023,New,N/A,N/A,N/A,17883.0
4668,"Audemars Piguet Royal Oak Chronograph
Selfwinding Chronograph","$117,914",Audemars Piguet,Royal Oak Chronograph,26715OR.OO.1356OR.01,N/A,N/A,N/A,2022,New,Men's watch/Unisex,38 mm,N/A,117914.0
2602,"Zenith Defy El Primero
21","$17,839",Zenith,Defy El Primero,10.9000.9004/96.R921,N/A,N/A,N/A,Unknown,New,Men's watch/Unisex,44 mm,N/A,17839.0
11785,"Hublot Big Bang Unico
Titanium & Diamonds Jewellery Men`s Watch","$66,276",Hublot,Big Bang Unico,421.NX.1170.RX.0904,N/A,N/A,N/A,Unknown,New,Men's watch/Unisex,44 mm,N/A,66276.0
2022,"Oris Divers Sixty Five
771 7744 4354-07 8 21 Divers Sixty-five","$3,378",Oris,Divers Sixty Five,01 771 7744 4354-07 8 21 18,Automatic,Steel,Steel,2019,New,Men's watch/Unisex,43 mm,N/A,3378.0
3480,"Jaeger-LeCoultre Grande Reverso Calendar
Q3752520","$13,802",Jaeger-LeCoultre,Grande Reverso Calendar,Q3752520,N/A,N/A,N/A,2016,Good,Men's watch/Unisex,48.5 mm,N/A,13802.0
10680,"Cartier
カルティエ Cartier タンク マスト ウォッチ SMWSTA0060","$3,185",Cartier,N/A,WSTA0060,N/A,N/A,N/A,Unknown,Unworn,Women's watch,33.7 x 25.5 mm,N/A,3185.0
30252,"Omega Speedmaster
3513.54","$2,048",Omega,Speedmaster,3513.54,Automatic,Steel,Steel,Unknown,Very good,Men's watch/Unisex,39 mm,N/A,2048.0
37408,N/A,"$15,248",Rolex,Datejust 36,126233 CHIJ,N/A,N/A,N/A,Unknown,N/A,N/A,36 mm,Unworn,15248.0
4434,"Seiko Prospex
SPB151J1 - Prospex Auto Divers Captain Willard Men's Watch",$997,Seiko,Prospex,SPB151J1,Automatic,Steel,N/A,Unknown,Unworn,Men's watch/Unisex,42.70 mm,N/A,997.0
66467,N/A,"$6,276",Rolex,Datejust Turn-O-Graph,16253,N/A,Gold/Steel,N/A,1988,N/A,N/A,36 mm,Fair,6276.0
20485,N/A,"$15,820",Rolex,Datejust,N/A,N/A,N/A,N/A,2021,N/A,N/A,28 mm,Good,15820.0
25531,N/A,"$6,421",Rolex,Lady-Datejust,79173,N/A,N/A,N/A,2002,N/A,N/A,26 mm,Very good,6421.0
39390,"Omega Speedmaster Professional Moonwatch
NEW Cal 321 Ed White 311.30.40.30.01.001","$19,975",Omega,Speedmaster Professional Moonwatch,311.30.40.30.01.001,N/A,N/A,N/A,2022,Unworn,Men's watch/Unisex,39.7 mm,N/A,19975.0
15420,"Cartier Santos 100
XL Chronograph Steel Mens 41mm Automatic Watch 2740","$7,850",Cartier,Santos 100,2740,Automatic,Steel,Leather,Unknown,Very good,Men's watch/Unisex,41 mm,N/A,7850.0
690,"Oris Classic
01 733 7594 4831-07 6 20 12",$956,Oris,Classic,01 733 7594 4831-07 6 20 12,Automatic,Steel,Leather,2023,New,Men's watch/Unisex,42 mm,N/A,956.0
8525,"TAG Heuer Carrera
Muhammed Ali WAR2A11.FC6337","$2,318",TAG Heuer,Carrera,N/A,N/A,N/A,N/A,2019,Very good,Men's watch/Unisex,43 mm,N/A,2318.0
60467,N/A,"$11,944",Rolex,GMT-Master II,16710,N/A,N/A,N/A,2000,N/A,N/A,40 mm,Fair,11944.0
4137,"Hublot Classic Fusion Quartz
Titanium Diamonds","$9,725",Hublot,Classic Fusion Quartz,581.NX.1171.RX.1104,Quartz,Titanium,Rubber,2023,New,Women's watch,33 mm,N/A,9725.0
27660,"Omega
168.015 コンステレーション 自動巻き メンズ 750755 中古",$679,Omega,N/A,168.015,N/A,N/A,N/A,Unknown,Fair,Men's watch/Unisex,34 mm,N/A,679.0
7108,"TAG Heuer Formula 1 Quartz
Ref. CAZ1010.BA0842 Black Dial Grey Steel Bracelet","$1,725",TAG Heuer,Formula 1 Quartz,CAZ1010.BA0842,N/A,N/A,N/A,Unknown,New,Men's watch/Unisex,43 x 39 mm,N/A,1725.0
12924,N/A,"$4,486",Rolex,Lady-Datejust,69173,N/A,N/A,N/A,1984,N/A,N/A,26 mm,Very good,4486.0
13729,"Breitling Navitimer 8
43MM AB0117131B1A1 STAINLESS STEEL MEN'S WATCH","$5,489",Breitling,Navitimer 8,AB0117131B1A1,Automatic,Steel,N/A,Unknown,New,Men's watch/Unisex,43 mm,N/A,5489.0
4127,"IWC
Pilot's Watch Mark XVIII Top Gun SFTI IW324712","$5,782",IWC,N/A,IW324712,N/A,N/A,N/A,2022 (Approximation),Very good,Men's watch/Unisex,41 mm,N/A,5782.0
