id,name,price,brand,model,ref,mvmt,casem,bracem,yop,cond,sex,size,condition,price_double
42039,N/A,"$7,799",Rolex,Datejust 36,16233,N/A,N/A,N/A,Unknown,N/A,N/A,36 mm,Very good,7799.0
7933,"Audemars Piguet Royal Oak Offshore Chronograph
42mm acier box and extrait 2023 série F 2007","$24,675",Audemars Piguet,Royal Oak Offshore Chronograph,25940SK.OO.D002CA.02.A,N/A,N/A,N/A,2007,Very good,Men's watch/Unisex,42 mm,N/A,24675.0
2519,"Jaeger-LeCoultre Reverso
Tribute Small Second 214.8.62 Full Set","$12,125",Jaeger-LeCoultre,Reverso,Q397846J,N/A,N/A,N/A,Unknown,Very good,Men's watch/Unisex,27.4 x 45.6 mm,N/A,12125.0
9123,"Hublot Big Bang 41 mm
Automatic 41mm","$9,075",Hublot,Big Bang 41 mm,342.SE.230.RW,Automatic,Steel,Rubber,Unknown,New,Men's watch/Unisex,41 mm,N/A,9075.0
15567,N/A,"$26,025",Rolex,Daytona,116520,N/A,Steel,Steel,2013,N/A,N/A,40 mm,Very good,26025.0
7469,"Omega Speedmaster Racing
Master","$6,840",Omega,Speedmaster Racing,329.30.44.51.01.001,N/A,N/A,N/A,2020 (Approximation),Very good,Men's watch/Unisex,44.25 mm,N/A,6840.0
6372,"Zenith Chronomaster Sport
El Primero Chronomaster Sport Stainless Steel 41mm (03.3100.3600/21.M3100) - BOX & PAPERS","$9,500",Zenith,Chronomaster Sport,03.3100.3600/21.M3100,Automatic,Steel,Steel,2022,Unworn,Men's watch/Unisex,41 mm,N/A,9500.0
1244,"TAG Heuer Carrera Lady
WAR2414.BA0776","$3,679",TAG Heuer,Carrera Lady,WAR2414.BA0776,Automatic,Steel,Steel,2023,New,Women's watch,28 mm,N/A,3679.0
12949,"TAG Heuer Aquaracer 300M
Calibre 5 43mm DLC Black Titanium Dial Red Accent WAY208A.FC6381","$2,150",TAG Heuer,Aquaracer 300M,WAY208A.FC6381,N/A,N/A,N/A,2021,Unworn,Men's watch/Unisex,43 mm,N/A,2150.0
2803,"Audemars Piguet Royal Oak Jumbo
– Royal Oak Jumbo 5402ST","$154,938",Audemars Piguet,Royal Oak Jumbo,5402ST,Automatic,Steel,Steel,1975,Very good,N/A,N/A,N/A,154938.0
